X,Y,OBJECTID,Type,Detail_Type,DISTRICT,COUNTY,FACILITY,Camp_type,TOTAL_SITE,ADA_SITES,name,Ownership,Management,Surface,Use_,Condition,Lat,Long
-85.115072758001062,42.944801999259134,6041,Campground,State Park,Rose Lake,Ionia,Ionia Recreatino Area,Organizational,30,0,Ionia Recreatino Area  ,State,DNR,Dirt,Recreation,Unknown,42.94479383,-85.11506765
-87.364812677085837,45.390084618711995,6042,Campground,State Park,Baraga,Ionia,Wells State Park,Modern,150,8,Wells State Park  ,State,DNR,Dirt,Recreation,Unknown,45.39007618,-87.36480662
-89.572414888896532,46.460409835986447,6043,Campground,State Park,Baraga,Gogebic,Lake Gogebic State Park,Modern,127,0,Lake Gogebic State Park  ,State,DNR,Dirt,Recreation,Unknown,46.46040137,-89.57240802
-84.259931296256951,41.824372605515791,6044,Campground,State Park,Rose Lake,Lenawee,Lake Hudson State Park,Semi Modern,50,0,Lake Hudson State Park  ,State,DNR,Dirt,Recreation,Unknown,41.82436458,-84.25992656
-82.494619329021347,43.131281450331883,6045,Campground,State Park,Bay City,St. Clair,Lakeport State Park,Modern,194,0,Lakeport State Park  ,State,DNR,Dirt,Recreation,Unknown,43.13127311,-82.49461501
-82.4943324547651,43.125139411314812,6046,Campground,State Park,Bay City,St. Clair,Lakeport State Park,Modern,56,0,Lakeport State Park  ,State,DNR,Dirt,Recreation,Unknown,43.12513107,-82.49432814
-82.493148646589347,43.121263852316417,6047,Campground,State Park,Bay City,St. Clair,Lakeport State Park,Organizational,4,0,Lakeport State Park  ,State,DNR,Dirt,Recreation,Unknown,43.12125551,-82.49314433
-82.497547958930554,43.131488581929176,6048,Campground,State Park,Bay City,St. Clair,Lakeport State Park,Organizational,4,0,Lakeport State Park  ,State,DNR,Dirt,Recreation,Unknown,43.13148024,-82.49754364
-85.542687231116133,45.209908920910863,6049,Campground,State Park,Roscommon,Leelanau,Leelanau State Park,Rustic,52,0,Leelanau State Park  ,State,DNR,Dirt,Recreation,Unknown,45.2099004,-85.54268175
-86.505176507441135,44.035342913069563,6050,Campground,State Park,Cadillac,Mason,Ludington State Park,Modern,97,5,Ludington State Park Pines,State,DNR,Dirt,Recreation,Unknown,44.03533463,-86.50517087
-86.500934192636521,44.038487460694938,6051,Campground,State Park,Cadillac,Mason,Ludington State Park,Modern,105,4,Ludington State Park Cedars,State,DNR,Dirt,Recreation,Unknown,44.03847918,-86.50092855
-86.494721436277445,44.038047684038666,6052,Campground,State Park,Cadillac,Mason,Ludington State Park,Modern,144,0,Ludington State Park Beechwood,State,DNR,Dirt,Recreation,Unknown,44.0380394,-86.4947158
-86.510401810280385,44.044115468089217,6053,Campground,State Park,Cadillac,Mason,Ludington State Park,Rustic,10,0,Ludington State Park Jackpine,State,DNR,Dirt,Recreation,Unknown,44.04410719,-86.51039617
-88.603832838884287,47.238423460501757,6054,Campground,State Park,Baraga,Houghton,Mclain State Park,Modern,103,0,Mclain State Park  ,State,DNR,Dirt,Recreation,Unknown,47.23841482,-88.60382615
-86.43823718405055,43.783865558083782,6055,Campground,State Park,Cadillac,Oceana,Mears State Park,Modern,178,0,Mears State Park  ,State,DNR,Dirt,Recreation,Unknown,43.78385732,-86.43823159
-83.350498721330766,42.942486904021855,6056,Campground,State Park,Bay City,Lapeer,Metamora-Hadley Recreation Area,Modern,88,0,Metamora-Hadley Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.94247864,-83.35049416
-83.348257632357871,42.936342519124466,6057,Campground,State Park,Bay City,Lapeer,Metamora-Hadley Recreation Area,Modern,125,0,Metamora-Hadley Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,42.93633425,-83.34825307
-85.452463909307397,44.237951484366143,6058,Campground,State Park,Cadillac,Wexford,Mitchell State Park,Modern,225,11,Mitchell State Park  ,State,DNR,Dirt,Recreation,Unknown,44.23794311,-85.45245857
-85.631033267634066,46.675728458250056,6059,Campground,State Park,Gaylord,Luce,Muskallonge Lake State Park,Modern,171,0,Muskallonge Lake State Park  ,State,DNR,Dirt,Recreation,Unknown,46.67571971,-85.63102758
-84.024332879602795,44.414604086068977,6060,Campground,State Park,Roscommon,Ogemaw,Rifle River Recreation Area,Modern,80,0,Rifle River Recreation Area Grousehaven,State,DNR,Dirt,Recreation,Unknown,44.41459561,-84.02432796
-84.029058464731122,44.398098649384991,6061,Campground,State Park,Roscommon,Ogemaw,Rifle River Recreation Area,Rustic,38,0,Rifle River Recreation Area Devoe Lake,State,DNR,Dirt,Recreation,Unknown,44.39809017,-84.02905354
-84.038350427481816,44.400388322630413,6062,Campground,State Park,Roscommon,Ogemaw,Rifle River Recreation Area,Rustic,1,0,Rifle River Recreation Area  ,State,DNR,Dirt,Recreation,Unknown,44.40037985,-84.0383455
-84.036299830290929,44.391670441236798,6063,Campground,State Park,Roscommon,Ogemaw,Rifle River Recreation Area,Rustic,64,0,Rifle River Recreation Area Ranch,State,DNR,Dirt,Recreation,Unknown,44.39166197,-84.03629491
-84.034346598271881,44.386885950560504,6064,Campground,State Park,Roscommon,Ogemaw,Rifle River Recreation Area,Rustic,18,0,Rifle River Recreation Area Spruce,State,DNR,Dirt,Recreation,Unknown,44.38687748,-84.03434168
-86.357746292366684,43.26175773138462,6065,Campground,State Park,Cadillac,Muskegon,Muskegon State Park,Modern,86,0,Muskegon State Park Lake Michigan,State,DNR,Dirt,Recreation,Unknown,43.26174957,-86.35774078
-86.346920704121899,43.249914291921591,6066,Campground,State Park,Cadillac,Muskegon,Muskegon State Park,Organizational,1,0,Muskegon State Park  ,State,DNR,Dirt,Recreation,Unknown,43.24990613,-86.3469152
-86.329542582077323,43.234817255278948,6067,Campground,State Park,Cadillac,Muskegon,Muskegon State Park,Modern,116,0,Muskegon State Park Channel,State,DNR,Dirt,Recreation,Unknown,43.2348091,-86.32953708
-85.584783244020514,43.503757873482108,6068,Campground,State Park,Cadillac,Newaygo,Newaygo State Park,Rustic,48,1,Newaygo State Park Poplar,State,DNR,Dirt,Recreation,Unknown,43.50374963,-85.58477794
-85.588877191968649,43.505194942815052,6069,Campground,State Park,Cadillac,Newaygo,Newaygo State Park,Rustic,51,0,Newaygo State Park Oak,State,DNR,Dirt,Recreation,Unknown,43.5051867,-85.58887189
